Brand,OS,Processor,RAM_Size,RAM_Type,Storage_Size,Storage_type,MRP
APPLE,Mac ,M2,8GB,Unified,512GB,SSD,139990.0
ASUS,Windows 11,Intel,16GB,DDR5,1TB,SSD,109990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,154990.0
Lenovo,Windows 11,Intel,16GB,DDR4,512GB,SSD,62990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,47990.0
DELL,Windows 11,AMD,8GB,DDR4,512GB,SSD,43667.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,135990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
ASUS,Windows 11,AMD,16GB,DDR5,512GB,SSD,98990.0
Infinix,Windows 11,Intel,16GB,LPDDR4X,512GB,SSD,46990.0
ASUS,Windows 11,Intel,8GB,DDR4,256GB,SSD,35990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,Intel,16GB,DDR5,1TB,SSD,109990.0
APPLE,Mac ,M2,8GB,Unified,512GB,SSD,139990.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,74770.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,40799.0
ASUS,Windows 10,Intel,16GB,DDR4,512GB,SSD,69490.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,LPDDR5,512GB,SSD,99990.0
APPLE,Mac ,M1,16GB,Unified,1TB,SSD,241990.0
acer,Windows 11,Intel,8GB,DDR4,512GB,SSD,40990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
HP,Windows 10,Intel,8GB,DDR4,512GB,SSD,60390.0
HP,Windows 10,Intel,8GB,DDR4,1TB,HDD,69990.0
ASUS,Windows 11,Intel,8GB,DDR4,256GB,SSD,44990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
ASUS,Windows 11,Intel,8GB,DDR4,256GB,SSD,44990.0
HP,Windows 10,Intel,8GB,DDR4,512GB,SSD,60390.0
ASUS,Windows 10,Intel,16GB,DDR4,512GB,SSD,69490.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,40799.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
HP,Windows 11,AMD,16GB,DDR4,512GB,SSD,55990.0
Lenovo,Windows 11,Intel,16GB,LPDDR4X,512GB,SSD,74990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
HP,Windows 10,Intel,8GB,DDR4,1TB,HDD,69990.0
ASUS,Windows 11,Intel,8GB,DDR4,256GB,SSD,44990.0
ASUS,Windows 11,Intel,8GB,DDR4,1TB,SSD,59990.0
APPLE,Mac ,M1,16GB,Unified,512GB,SSD,222990.0
